"Macrorregi�o de Sa�de","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Total"
"1101 MACRORREGIONAL II (CACOAL)",1,6,2,-,3,5,2,5,4,3,2,5,3,2,1,4,3,1,1,5,8,1,3,5,2,77
"1102 MACRORREGIAO I - PORTO VELHO",-,4,7,4,2,4,4,1,5,9,3,4,1,2,5,2,2,5,5,3,1,2,2,2,4,83
"1201 MACRO UNICA - AC",4,2,-,1,4,3,5,3,1,5,5,6,4,11,4,3,3,5,4,5,11,3,3,3,4,102
"1302 OESTE",1,-,2,1,4,-,-,1,-,3,2,3,1,1,-,4,2,4,3,3,2,1,4,2,3,47
"1303 LESTE",-,1,1,1,-,2,2,3,1,1,1,3,1,1,2,1,1,2,2,4,2,1,-,1,2,36
"1304 CENTRAL",18,16,18,11,14,18,15,15,16,15,14,17,11,20,19,21,22,29,20,13,24,12,12,30,18,438
"1401 MACRO-RORAIMA",1,1,1,2,2,-,1,1,2,2,-,-,3,3,3,2,4,2,3,5,3,5,2,7,5,60
"1509 MACRORREGIONAL IV",-,3,4,6,3,6,4,3,9,4,6,3,12,10,8,3,4,9,8,4,4,5,7,2,6,133
"1510 MACRORREGIONAL III",1,2,4,2,5,3,3,2,5,2,6,5,4,9,3,5,5,2,7,4,8,7,8,5,3,110
"1511 MACRORREGIONAL II",3,2,1,1,4,1,3,1,5,8,10,9,10,3,7,6,10,8,7,11,12,10,6,8,9,155
"1512 MACRORREGIONAL I",17,11,18,17,19,17,18,18,24,26,18,22,15,28,17,21,27,20,22,30,26,24,20,15,19,509
"1601 MACRO UNICA - AP",3,7,2,4,-,-,3,2,2,4,1,4,2,5,1,1,5,3,6,4,4,4,5,9,3,84
"1701 MACRORREGIAO NORTE",1,1,2,5,2,1,3,6,5,2,2,3,3,5,2,3,4,5,7,5,7,1,1,4,3,83
"1702 MACRORREGIAO CENTRO-SUL",1,-,-,3,3,4,2,4,3,3,3,5,1,3,2,5,-,4,6,9,5,6,7,2,3,84
"2109 MACRORREGIAO SUL",-,-,2,1,3,2,2,3,4,6,12,6,3,3,3,8,9,3,2,7,10,3,5,3,9,109
"2110 MACRORREGIAO NORTE",6,9,8,12,10,10,13,15,15,16,16,20,23,19,15,23,27,25,25,20,16,20,18,21,17,419
"2111 MACRORREGIAO LESTE",2,2,3,2,5,6,3,7,4,8,5,6,8,7,7,12,8,7,6,6,4,8,7,7,7,147
"2207 SEMI-ARIDO",-,-,1,-,4,5,1,1,5,2,6,7,6,4,5,4,3,1,4,5,4,4,1,1,1,75
"2208 MEIO NORTE",2,4,8,4,7,6,8,8,4,8,6,7,9,8,7,13,7,7,6,6,12,10,6,6,3,172
"2209 LITORAL",1,1,-,2,2,5,3,2,2,5,3,4,3,2,8,6,3,2,2,6,2,3,-,2,5,74
"2210 CERRADOS",-,-,-,1,1,4,5,-,2,4,6,4,4,2,-,2,4,3,-,3,5,3,5,4,3,65
"2306 5� MACRO - LITORAL LESTE/JAGUARIBE",2,-,1,1,3,1,2,3,2,4,1,-,1,3,4,2,-,1,5,3,-,-,2,1,-,42
"2307 4� MACRO - SERTAO CENTRAL",3,-,2,1,1,2,7,4,2,4,4,4,5,2,4,1,3,6,5,4,4,3,2,3,2,78
"2308 3� MACRO - CARIRI",7,3,9,3,4,3,9,13,9,13,8,10,8,5,10,9,7,3,5,11,7,7,1,9,5,178
"2309 2� MACRO - SOBRAL",3,7,3,2,7,7,4,7,6,8,9,9,11,16,10,7,9,16,11,9,9,12,12,9,6,209
"2310 1� MACRO - FORTALEZA",24,17,25,19,22,25,24,18,28,26,22,18,26,23,20,23,29,28,23,27,32,17,17,17,17,567
"2401 MACRORREGIAO II",-,2,6,3,3,3,2,-,3,5,4,4,4,2,3,2,2,3,5,1,7,2,2,4,5,77
"2402 MACRORREGIAO I",13,15,9,13,11,13,14,19,12,17,26,17,14,23,8,18,15,17,13,15,17,12,13,6,11,361
"2501 MACRORREGIAO III - SERTAO/ALTO SERTAO",2,1,6,2,2,5,4,4,4,8,6,2,5,3,4,3,5,6,4,5,4,5,5,6,4,105
"2502 MACRORREGIAO II - CAMPINA GRANDE",4,6,1,1,3,3,5,4,8,5,8,5,3,6,1,7,6,10,3,7,7,6,5,1,4,119
"2503 MACRORREGIAO I - JOAO PESSOA",5,6,4,5,8,7,12,15,8,12,11,10,11,11,10,13,8,12,7,10,11,6,15,5,9,231
"2605 VALE DO S.FRANCISCO E ARARIPE",4,-,2,-,3,-,4,3,6,11,3,10,5,9,4,8,6,3,5,11,4,5,4,9,4,123
"2606 SERTAO",2,4,2,1,3,-,3,6,5,9,2,7,5,5,6,6,3,1,1,1,6,-,3,2,5,88
"2607 METROPOLITANA",19,24,34,29,30,32,26,28,28,27,31,26,20,27,30,30,17,34,20,25,25,25,22,25,24,658
"2608 AGRESTE",6,9,4,9,9,6,4,9,13,5,6,12,5,14,14,11,10,14,6,5,11,12,10,4,8,216
"2703 2� MACRORREGIAO DE SAUDE",1,2,2,2,2,3,6,6,2,5,7,6,6,7,2,10,2,4,8,7,5,11,8,7,4,125
"2704 1� MACRORREGIAO DE SAUDE",13,9,9,12,6,16,6,10,5,12,14,12,15,9,6,13,5,9,11,12,10,14,17,10,8,263
"2801 MACRO UNICA",4,10,10,15,14,13,10,9,11,23,11,15,5,9,9,6,17,7,8,12,13,14,8,16,7,276
"2910 SUL (NBS - ILHEUS)",4,8,4,5,10,8,6,7,6,7,6,6,8,8,5,11,6,12,8,8,12,4,9,8,7,183
"2911 SUDOESTE (NBS - VITORIA CONQUISTA)",2,2,5,1,8,11,4,9,5,4,7,8,6,6,6,4,9,6,1,10,9,-,7,2,4,136
"2912 OESTE (NBS - BARREIRAS)",1,2,1,3,2,-,3,1,3,1,3,2,1,2,2,3,1,2,2,3,1,3,2,4,6,54
"2913 NORTE - (NRS - JUAZEIRO)",1,1,4,3,4,3,1,4,1,5,4,4,6,6,3,2,9,3,7,8,4,6,2,2,4,97
"2914 NORDESTE (NRS - ALAGOINHAS)",1,3,3,3,3,5,6,1,2,2,4,2,6,5,6,6,-,4,4,5,4,2,4,2,3,86
"2915 LESTE - (NRS - SALVADOR)",25,17,23,28,28,23,19,25,13,19,23,20,24,17,15,17,27,19,23,24,13,25,21,24,11,523
"2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS)",1,3,2,-,2,1,4,2,3,2,1,5,3,6,3,9,7,3,3,2,-,4,5,3,4,78
"2917 CENTRO-LESTE (NRS - FEIRA SANTANA)",6,2,5,7,8,13,8,5,8,4,13,4,12,13,5,12,12,12,9,12,8,5,12,9,7,211
"2918 CENTRO - NORTE (NRS - JACOBINA)",-,3,-,1,2,3,2,3,4,5,2,3,3,2,10,2,-,1,1,2,2,6,4,5,4,70
"3101 SUL",18,12,9,10,8,9,10,10,13,14,6,17,11,11,11,7,9,9,7,13,8,7,10,8,11,258
"3102 CENTRO SUL",4,6,3,2,3,4,2,4,3,2,2,2,4,5,1,5,2,2,5,3,1,4,3,2,3,77
"3103 CENTRO",47,44,36,41,29,35,30,21,22,33,25,28,24,29,25,28,33,35,34,31,20,29,24,16,29,748
"3104 JEQUITINHONHA",2,-,-,1,1,-,5,2,3,3,2,1,-,2,-,1,3,3,1,1,1,-,4,3,3,42
"3105 OESTE",2,5,5,6,1,5,7,5,7,3,4,3,2,3,7,1,4,4,6,3,9,4,5,6,6,113
"3106 LESTE",2,4,2,1,4,2,1,3,3,1,3,4,3,3,4,3,4,2,4,1,3,1,2,3,1,64
"3107 SUDESTE",5,5,8,6,11,8,6,6,2,6,8,9,11,5,5,6,3,8,6,10,3,5,2,8,3,155
"3108 NORTE",6,9,4,7,-,7,5,6,11,6,8,7,5,10,6,11,9,3,8,11,9,13,4,10,3,178
"3109 NOROESTE",2,-,2,5,2,1,2,3,1,3,2,3,1,2,2,2,3,3,1,2,4,1,3,1,1,52
"3110 LESTE DO SUL",4,-,3,5,2,3,2,2,1,2,4,3,3,2,4,1,2,4,6,3,2,2,1,-,1,62
"3111 NORDESTE",2,6,1,3,3,2,2,4,3,2,1,3,2,6,1,2,2,4,4,7,8,3,6,1,1,79
"3112 TRIANGULO DO SUL",4,4,4,4,-,2,2,4,3,-,1,-,4,2,2,6,6,-,1,2,-,3,3,2,2,61
"3113 TRIANGULO DO NORTE",2,4,5,8,5,4,5,3,1,6,2,2,3,6,3,5,6,3,5,9,2,5,2,5,7,108
"3114 VALE DO ACO",1,1,1,2,3,2,4,3,2,4,3,-,1,3,3,5,6,2,1,1,4,2,3,3,2,62
"3205 SUL",6,3,5,1,3,3,3,5,5,2,3,3,3,5,1,2,4,4,1,4,2,-,4,4,2,78
"3206 NORTE",-,2,1,2,4,5,1,2,1,-,1,-,1,1,1,3,1,4,3,-,1,1,1,2,1,39
"3207 METROPOLITANA",11,11,16,16,20,6,13,13,12,8,11,10,8,10,8,14,7,11,7,7,8,4,10,7,6,254
"3208 CENTRAL",1,1,4,4,1,4,2,5,4,1,4,4,3,2,1,1,1,5,3,1,1,1,3,-,7,64
"3312 MACRORREGIAO I",85,77,87,58,86,68,74,62,68,63,75,77,77,75,76,80,72,87,80,67,73,57,47,66,61,1798
"3518 RRAS9",8,8,8,10,6,8,7,7,8,3,6,6,5,9,7,5,7,10,6,8,8,13,11,7,4,185
"3519 RRAS8",8,7,11,7,10,6,12,15,18,10,4,15,12,12,9,13,10,7,10,11,8,9,11,4,9,248
"3520 RRAS7",7,14,7,9,13,16,10,7,15,12,6,9,10,5,8,15,12,8,14,5,8,10,8,12,3,243
"3521 RRAS6",69,62,63,70,67,82,70,64,56,63,52,52,55,55,56,50,56,46,44,60,42,37,35,45,37,1388
"3522 RRAS5",11,11,15,12,9,9,12,10,6,6,8,13,12,7,8,9,12,11,11,11,5,11,4,12,6,241
"3523 RRAS4",4,6,2,10,10,9,5,7,2,10,4,5,5,3,8,7,3,9,6,7,4,4,4,4,3,141
"3524 RRAS3",3,-,-,2,3,1,3,3,4,4,2,1,1,1,6,1,3,4,3,1,3,1,4,3,1,58
"3525 RRAS2",15,14,18,16,13,19,11,15,13,23,15,17,6,13,15,17,18,14,22,16,17,11,13,12,13,376
