"Macrorregi�o de Sa�de","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Total"
"1101 MACRORREGIONAL II (CACOAL)",1,5,2,3,2,2,1,3,-,2,1,2,2,2,2,2,-,2,3,2,3,1,1,-,1,45
"1102 MACRORREGIAO I - PORTO VELHO",2,1,3,3,5,6,4,2,5,3,2,2,6,5,2,1,2,5,3,2,2,1,4,3,4,78
"1201 MACRO UNICA - AC",-,1,-,3,3,8,3,5,3,3,4,1,3,5,3,6,2,4,-,3,6,9,4,5,1,85
"1302 OESTE",1,-,-,2,-,-,-,2,1,1,1,2,-,1,-,-,1,2,-,4,3,4,-,2,1,28
"1303 LESTE",2,3,1,-,-,1,2,-,1,2,2,3,-,4,4,2,2,2,1,1,2,2,5,3,4,49
"1304 CENTRAL",9,10,19,13,14,13,12,13,18,21,11,8,8,14,7,15,13,15,19,15,20,8,19,13,11,338
"1401 MACRO-RORAIMA",-,2,-,2,-,2,2,1,2,1,3,1,-,2,-,1,4,-,-,1,2,3,5,2,2,38
"1509 MACRORREGIONAL IV",1,3,3,5,2,4,5,5,5,4,8,12,7,5,6,5,10,11,6,6,4,2,8,4,6,137
"1510 MACRORREGIONAL III",-,6,4,3,6,3,3,8,6,6,5,5,7,6,10,6,2,4,1,4,4,7,4,1,6,117
"1511 MACRORREGIONAL II",1,2,2,-,2,4,6,4,4,8,10,12,8,4,16,6,7,9,10,6,13,4,5,8,10,161
"1512 MACRORREGIONAL I",13,14,19,22,9,24,28,21,17,14,16,10,12,16,16,13,16,13,19,11,12,11,10,13,11,380
"1601 MACRO UNICA - AP",8,1,1,5,2,5,2,1,2,3,3,-,4,3,3,2,2,3,3,3,5,3,4,5,1,74
"1701 MACRORREGIAO NORTE",-,-,1,-,4,-,1,1,-,1,2,6,2,4,2,2,3,5,-,2,2,1,2,1,2,44
"1702 MACRORREGIAO CENTRO-SUL",2,-,2,7,4,1,3,6,4,3,4,1,2,3,3,3,4,1,5,4,3,7,5,2,1,80
"2109 MACRORREGIAO SUL",2,-,2,3,4,7,4,5,3,6,9,7,7,2,10,7,4,5,4,5,6,8,10,1,6,127
"2110 MACRORREGIAO NORTE",6,8,5,5,14,18,14,15,22,17,26,19,16,17,21,20,18,10,14,9,12,12,20,10,16,364
"2111 MACRORREGIAO LESTE",1,1,2,-,1,1,3,6,6,13,11,8,6,8,7,7,9,5,5,3,5,10,2,3,6,129
"2207 SEMI-ARIDO",-,-,1,1,1,2,3,1,1,2,-,3,-,3,2,2,2,4,4,3,2,2,2,2,1,44
"2208 MEIO NORTE",2,1,2,8,5,10,8,6,6,10,10,8,9,4,5,5,8,7,2,7,3,6,7,9,5,153
"2209 LITORAL",-,-,-,-,3,1,1,4,2,2,2,3,3,3,5,2,6,2,3,6,3,5,2,5,-,63
"2210 CERRADOS",-,1,-,1,2,2,2,3,3,3,1,3,4,2,4,3,1,1,4,2,5,4,2,3,1,57
"2306 5� MACRO - LITORAL LESTE/JAGUARIBE",2,-,6,2,5,-,1,3,1,1,1,1,3,-,1,4,-,3,1,-,1,-,2,4,3,45
"2307 4� MACRO - SERTAO CENTRAL",2,3,4,2,4,-,3,1,2,1,6,4,3,1,2,-,3,1,1,-,3,3,1,2,2,54
"2308 3� MACRO - CARIRI",1,2,6,4,9,1,6,9,8,5,5,7,4,7,6,5,2,4,3,3,4,4,4,2,3,114
"2309 2� MACRO - SOBRAL",4,4,7,4,8,7,10,4,9,8,4,6,8,9,4,2,9,3,5,6,4,7,6,7,4,149
"2310 1� MACRO - FORTALEZA",17,17,31,33,26,9,22,21,8,21,20,14,15,14,12,12,19,14,17,10,10,15,17,17,19,430
"2401 MACRORREGIAO II",7,3,3,1,2,2,1,1,4,8,3,2,-,1,1,5,4,3,1,4,4,3,1,2,2,68
"2402 MACRORREGIAO I",6,7,12,12,7,8,4,6,8,13,7,6,6,8,11,5,4,8,6,5,7,11,6,9,4,186
"2501 MACRORREGIAO III - SERTAO/ALTO SERTAO",3,-,1,-,2,3,2,3,3,6,2,-,5,1,2,2,1,4,3,3,3,2,5,3,2,61
"2502 MACRORREGIAO II - CAMPINA GRANDE",3,2,2,2,-,2,1,1,4,2,5,5,2,4,6,2,4,4,4,2,4,4,4,7,4,80
"2503 MACRORREGIAO I - JOAO PESSOA",5,3,5,5,6,4,8,6,9,4,10,7,8,5,9,12,2,4,1,8,6,5,3,2,4,141
"2605 VALE DO S.FRANCISCO E ARARIPE",2,2,6,3,3,4,2,6,1,1,2,2,4,4,3,2,10,5,6,4,1,4,6,2,4,89
"2606 SERTAO",1,1,2,2,1,2,-,5,3,-,2,1,1,4,1,2,3,4,4,-,3,1,3,4,2,52
"2607 METROPOLITANA",25,12,22,25,17,19,17,16,20,22,7,13,17,17,12,17,17,13,17,10,17,16,16,7,18,409
"2608 AGRESTE",1,8,2,6,7,1,8,6,5,4,12,10,4,7,4,7,2,7,4,6,6,8,5,-,5,135
"2703 2� MACRORREGIAO DE SAUDE",-,2,1,3,2,2,6,3,4,4,3,7,6,3,-,5,4,1,3,2,4,5,5,5,3,83
"2704 1� MACRORREGIAO DE SAUDE",5,4,12,7,6,4,5,7,13,10,7,8,11,13,8,16,9,8,9,10,5,6,8,10,3,204
"2801 MACRO UNICA",5,4,8,9,13,8,8,9,9,11,7,9,7,11,9,10,5,6,8,15,6,5,7,7,7,203
"2910 SUL (NBS - ILHEUS)",2,2,8,1,6,7,4,4,7,6,4,3,6,6,10,5,2,6,5,2,2,5,3,9,4,119
"2911 SUDOESTE (NBS - VITORIA CONQUISTA)",5,1,1,3,3,2,-,7,3,4,5,1,5,3,5,4,2,3,5,8,4,3,3,1,-,81
"2912 OESTE (NBS - BARREIRAS)",1,-,-,-,1,-,1,5,2,2,3,-,2,1,3,1,1,4,-,1,-,-,4,1,-,33
"2913 NORTE - (NRS - JUAZEIRO)",2,1,2,1,-,4,1,1,4,-,2,1,3,4,2,6,2,2,1,5,7,7,4,3,4,69
"2914 NORDESTE (NRS - ALAGOINHAS)",1,1,4,-,1,1,1,6,3,-,1,-,2,5,1,5,7,6,5,2,-,3,-,1,-,56
"2915 LESTE - (NRS - SALVADOR)",15,17,11,19,9,18,21,13,11,9,9,11,11,13,11,15,12,8,13,8,16,12,6,10,5,303
