"Macrorregi�o de Sa�de","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Total"
"1101 MACRORREGIONAL II (CACOAL)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1102 MACRORREGIAO I - PORTO VELHO",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,2
"1201 MACRO UNICA - AC",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,3
"1302 OESTE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1303 LESTE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"1304 CENTRAL",1,-,-,-,-,-,-,-,3,-,-,1,-,-,1,1,1,2,-,-,-,-,-,-,-,10
"1401 MACRO-RORAIMA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,3
"1509 MACRORREGIONAL IV",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"1510 MACRORREGIONAL III",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"1511 MACRORREGIONAL II",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"1512 MACRORREGIONAL I",-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,4,-,8
"1601 MACRO UNICA - AP",-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2
"1701 MACRORREGIAO NORTE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
"1702 MACRORREGIAO CENTRO-SUL",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
"2109 MACRORREGIAO SUL",-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,3
"2110 MACRORREGIAO NORTE",-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,1,-,-,1,-,-,-,-,5
"2111 MACRORREGIAO LESTE",-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,5
"2207 SEMI-ARIDO",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"2208 MEIO NORTE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"2209 LITORAL",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
"2210 CERRADOS",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"2306 5� MACRO - LITORAL LESTE/JAGUARIBE",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"2307 4� MACRO - SERTAO CENTRAL",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
