"Macrorregi�o de Sa�de","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Total"
"1101 MACRORREGIONAL II (CACOAL)",-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,3
"1102 MACRORREGIAO I - PORTO VELHO",-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"1201 MACRO UNICA - AC",-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,5
"1302 OESTE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
"1303 LESTE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1304 CENTRAL",-,1,1,-,1,1,-,-,1,-,-,-,2,-,1,-,2,1,1,1,1,-,2,-,1,17
"1401 MACRO-RORAIMA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
"1509 MACRORREGIONAL IV",-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,3
"1510 MACRORREGIONAL III",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,2
"1511 MACRORREGIONAL II",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,2
"1512 MACRORREGIONAL I",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,-,1,-,1,-,3,-,9
"1601 MACRO UNICA - AP",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
"1701 MACRORREGIAO NORTE",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,3
"1702 MACRORREGIAO CENTRO-SUL",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"2109 MACRORREGIAO SUL",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"2110 MACRORREGIAO NORTE",1,-,1,1,-,-,1,-,-,1,-,-,-,-,2,-,1,1,2,1,1,-,1,-,-,14
"2111 MACRORREGIAO LESTE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,2
"2207 SEMI-ARIDO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,1,-,-,-,4
"2208 MEIO NORTE",-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,5
"2209 LITORAL",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"2210 CERRADOS",-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,1,-,-,-,-,-,4
"2306 5� MACRO - LITORAL LESTE/JAGUARIBE",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1
"2307 4� MACRO - SERTAO CENTRAL",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1
"2308 3� MACRO - CARIRI",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"2309 2� MACRO - SOBRAL",-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,2,-,-,-,2,-,-,-,-,-,8
"2310 1� MACRO - FORTALEZA",-,-,-,1,1,-,1,-,-,-,1,-,1,-,-,1,-,-,1,1,-,2,1,-,-,11
"2401 MACRORREGIAO II",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"2402 MACRORREGIAO I",2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,5
"2501 MACRORREGIAO III - SERTAO/ALTO SERTAO",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"2502 MACRORREGIAO II - CAMPINA GRANDE",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,3
"2503 MACRORREGIAO I - JOAO PESSOA",-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,1,1,-,-,-,-,-,-,-,5
"2605 VALE DO S.FRANCISCO E ARARIPE",1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,4
"2606 SERTAO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,1,-,3
"2607 METROPOLITANA",-,2,-,4,2,-,-,-,-,1,-,1,-,-,1,3,-,-,-,-,1,-,-,2,1,18
"2608 AGRESTE",-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,1,6
"2703 2� MACRORREGIAO DE SAUDE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"2704 1� MACRORREGIAO DE SAUDE",1,-,-,-,-,-,-,1,-,-,1,-,1,1,-,1,-,-,-,-,-,-,1,-,-,7
"2801 MACRO UNICA",-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,6
"2910 SUL (NBS - ILHEUS)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,1,-,-,4
"2911 SUDOESTE (NBS - VITORIA CONQUISTA)",-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,3
"2912 OESTE (NBS - BARREIRAS)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"2913 NORTE - (NRS - JUAZEIRO)",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"2914 NORDESTE (NRS - ALAGOINHAS)",-,-,-,-,-,1,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4
"2915 LESTE - (NRS - SALVADOR)",-,-,1,1,-,3,-,-,1,-,-,-,1,-,-,3,1,1,1,2,-,2,2,2,-,21
"2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,2,4
"2917 CENTRO-LESTE (NRS - FEIRA SANTANA)",-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,3
"2918 CENTRO - NORTE (NRS - JACOBINA)",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"3101 SUL",-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3
